equipo,liga,elo,partidos_muestra,gf_casa,gc_casa,gf_fuera,gc_fuera,tiros_puerta_favor,tiros_puerta_contra,ultimo_partido
Genoa,Serie A,1541.5,20,1.15,1.6,0.95,1.3,3.65,4.42,2026-09-04
Hamburg,Bundesliga,1536.3,20,1.6,1.5,1.05,1.85,4.62,5.03,2026-09-06
Botafogo RJ,Brasileirao,1536.2,20,1.9,1.45,1.15,1.55,,,2026-09-06
Gil Vicente,Liga Portugal,1536.0,20,1.55,0.9,1.05,1.2,4.38,3.38,2026-09-06
Lecce,Serie A,1533.6,20,0.65,1.4,0.85,1.35,2.7,4.6,2026-09-07
FC Koln,Bundesliga,1532.3,20,1.9,1.65,1.1,1.95,4.67,4.65,2026-09-04
Groningen,Eredivisie,1531.4,20,1.65,1.2,1.35,1.75,5.72,4.5,2026-09-06
Atletico-MG,Brasileirao,1530.8,20,1.8,1.15,0.85,1.25,,,2026-09-05
Utrecht,Eredivisie,1528.9,20,1.8,1.3,1.4,1.7,5.3,5.08,2026-09-08
Belgrano,Primera Division,1528.6,20,1.15,0.7,0.85,0.8,,,2026-09-04
Middlesbrough,Championship,1526.9,20,1.65,0.9,1.6,1.35,5.25,3.58,2026-09-05
Palermo,Serie B,1526.1,20,2.0,0.6,1.3,1.15,4.4,3.92,2026-09-07
Paderborn,Bundesliga,1524.8,20,1.9,1.5,1.3,1.05,5.1,4.42,2026-09-05
Auxerre,Ligue 1,1523.5,20,1.05,1.15,1.0,1.9,3.48,4.9,2026-09-04
Castellon,LaLiga Hypermotion,1522.1,20,2.0,1.0,1.3,1.05,5.12,3.7,2026-09-06
Ind. Rivadavia,Primera Division,1521.5,20,1.5,1.05,1.1,1.05,,,2026-09-06
Schalke 04,Bundesliga,1521.5,20,1.5,0.9,1.1,1.2,4.67,3.67,2026-09-05
Academico Viseu,Liga Portugal,1520.2,5,0.0,2.0,1.67,1.33,2.8,5.6,2026-09-06
Heerenveen,Eredivisie,1518.8,20,1.8,1.45,1.4,1.7,5.35,5.3,2026-09-06
Excelsior,Eredivisie,1518.6,20,1.35,1.25,1.6,1.8,4.5,5.12,2026-09-08
Millwall,Championship,1518.3,20,1.7,0.95,1.35,1.25,4.35,3.92,2026-09-05
Nice,Ligue 1,1518.1,20,1.3,1.4,1.05,1.95,3.95,5.08,2026-09-05
Go Ahead Eagles,Eredivisie,1517.4,20,2.1,1.3,1.35,1.95,5.2,5.7,2026-09-08
Wolfsburg,2. Bundesliga,1515.4,20,1.35,1.9,1.55,1.95,4.62,5.47,2026-09-05
Le Havre,Ligue 1,1509.9,20,1.1,1.2,0.9,1.5,3.75,4.33,2026-09-05
Troyes,Ligue 1,1509.5,20,2.15,1.15,1.25,1.0,4.92,3.58,2026-09-06
Independiente,Primera Division,1509.3,20,1.25,0.95,0.95,1.05,,,2026-09-06
Wolves,Championship,1507.8,20,1.25,1.65,0.75,1.95,3.48,4.7,2026-09-06
Estudiantes L.P.,Primera Division,1506.7,20,1.4,0.7,0.7,0.75,,,2026-09-06
Bragantino,Brasileirao,1506.6,20,1.5,1.05,0.9,1.55,,,2026-09-05
Sao Paulo,Brasileirao,1506.0,20,1.6,0.9,0.8,1.65,,,2026-09-05
Eibar,LaLiga Hypermotion,1505.4,20,1.7,0.9,0.7,1.0,3.73,3.9,2026-09-06
Mirassol,Brasileirao,1505.4,20,1.65,1.25,0.85,1.5,,,2026-09-06
Santos,Brasileirao,1505.1,20,1.5,1.05,1.5,1.75,,,2026-09-06
Gimnasia Mendoza,Primera Division,1503.6,20,1.42,0.92,0.92,1.5,,,2026-09-05
Le Mans,Ligue 1,1503.0,20,1.22,0.56,1.74,1.42,4.38,3.11,2026-09-05
Las Palmas,LaLiga Hypermotion,1501.4,20,1.6,0.6,1.2,1.5,4.15,3.7,2026-09-04
Angers,Ligue 1,1498.6,20,1.05,1.25,0.75,1.55,3.25,5.42,2026-09-06
Fortaleza,Brasileirao,1498.6,20,1.3,1.15,1.05,1.9,,,2025-12-07
Corinthians,Brasileirao,1498.6,20,1.15,0.9,0.95,1.3,,,2026-09-06
Guimaraes,Liga Portugal,1496.2,20,1.35,1.0,0.75,1.9,3.88,4.4,2026-09-06
Huracan,Primera Division,1496.2,20,0.8,0.85,0.8,0.8,,,2026-09-04
Tigre,Primera Division,1495.1,20,1.15,0.75,0.8,0.8,,,2026-09-05
Gimnasia L.P.,Primera Division,1494.6,20,1.25,1.25,1.15,1.1,,,2026-09-05
St Etienne,Ligue 2,1494.3,20,2.45,1.0,1.4,1.1,5.2,3.45,2026-09-05
Norwich,Championship,1491.8,20,1.5,1.05,1.6,1.3,4.92,3.7,2026-09-09
Union de Santa Fe,Primera Division,1489.4,20,1.45,0.9,1.4,1.5,,,2026-09-08
Almeria,LaLiga Hypermotion,1488.9,20,2.5,1.2,1.25,1.5,5.5,4.88,2026-09-06
Swansea,Championship,1487.4,20,1.5,0.95,1.2,1.6,4.28,4.2,2026-09-08
Estrela,Liga Portugal,1487.3,20,1.35,1.45,1.1,2.0,3.7,4.6,2026-09-10
Burgos,LaLiga Hypermotion,1487.1,20,1.2,0.7,0.95,0.9,3.08,3.58,2026-09-06
For Sittard,Eredivisie,1486.1,20,1.55,1.6,1.45,2.0,4.47,5.65,2026-09-06
Wrexham,Championship,1483.1,20,1.8,1.55,1.2,1.1,3.67,4.28,2026-09-08
Hertha,2. Bundesliga,1481.3,20,1.15,1.05,1.85,1.55,4.4,4.42,2026-09-06
Estoril,Liga Portugal,1481.2,20,1.5,1.45,1.4,1.85,4.17,4.38,2026-09-07
Racing Club,Primera Division,1480.9,20,1.0,0.9,1.1,0.95,,,2026-09-07
Reims,Ligue 2,1480.6,20,1.8,1.1,1.5,1.1,4.78,3.38,2026-09-05
Moreirense,Liga Portugal,1480.6,20,1.2,1.45,0.95,1.7,3.17,4.72,2026-09-09
Instituto,Primera Division,1480.2,20,1.05,1.05,0.65,0.9,,,2026-09-08
Alverca,Liga Portugal,1479.7,20,1.1,1.4,0.95,1.79,3.44,4.54,2026-09-05
Nurnberg,2. Bundesliga,1478.1,20,1.75,1.0,1.5,1.65,4.85,4.38,2026-09-05
Lanus,Primera Division,1477.0,20,1.2,0.75,1.0,1.15,,,2026-09-06
Telstar,Eredivisie,1476.0,20,1.7,1.85,1.05,1.53,4.56,6.36,2026-09-09
Coritiba,Brasileirao,1475.1,20,0.95,1.35,1.5,1.5,,,2026-09-06
Nacional,Liga Portugal,1473.9,20,1.5,1.45,0.8,1.35,4.05,4.7,2026-09-05
Sparta Rotterdam,Eredivisie,1472.5,20,1.3,1.65,1.2,1.95,4.42,5.85,2026-09-04
Oviedo,LaLiga Hypermotion,1467.8,20,0.4,0.8,0.9,2.1,3.25,5.08,2026-09-06
Gremio,Brasileirao,1467.1,20,1.8,1.1,0.75,1.6,,,2026-09-08
Heidenheim,2. Bundesliga,1466.5,20,1.65,2.35,1.15,1.95,3.98,5.72,2026-09-06
Hannover,2. Bundesliga,1465.3,20,1.5,1.35,1.8,1.25,5.47,4.35,2026-09-04
West Brom,Championship,1465.3,20,1.4,1.15,0.85,1.4,4.1,3.33,2026-09-09
Vitoria,Brasileirao,1463.6,20,1.2,0.55,0.85,2.15,,,2026-09-08
San Lorenzo,Primera Division,1462.4,20,0.95,0.75,0.55,0.85,,,2026-09-05
Sheffield United,Championship,1462.3,20,1.9,1.35,1.4,1.35,4.45,4.35,2026-09-08
Barracas Central,Primera Division,1461.9,20,1.0,1.05,0.85,0.75,,,2026-09-07
Den Haag,Eredivisie,1460.1,5,1.5,3.5,1.0,2.33,2.6,8.0,2026-09-06
Bristol City,Championship,1460.0,20,1.4,1.3,1.15,1.25,4.15,4.22,2026-09-05
Internacional,Brasileirao,1459.5,20,1.3,1.0,0.85,1.7,,,2026-09-06
Dep. Riestra,Primera Division,1458.3,20,1.0,0.45,0.55,1.1,,,2026-09-04
Sp Gijon,LaLiga Hypermotion,1457.8,20,1.4,0.8,1.25,1.55,4.28,4.0,2026-09-05
Zwolle,Eredivisie,1455.6,20,1.2,1.3,1.4,2.75,3.6,6.17,2026-09-04
Ceara,Brasileirao,1454.8,20,1.2,0.95,0.7,1.2,,,2025-12-07
Modena,Serie B,1454.7,20,1.4,0.9,1.2,1.0,4.78,3.62,2026-09-06
Burnley,Championship,1454.6,20,1.0,1.65,1.05,2.4,3.27,5.62,2026-09-08
Kaiserslautern,2. Bundesliga,1452.6,20,2.0,1.0,0.95,1.65,4.55,5.05,2026-09-05
Rio Ave,Liga Portugal,1452.6,20,0.9,1.8,1.0,1.65,3.58,5.2,2026-09-06
Maritimo,Liga Portugal,1450.6,20,1.2,1.4,0.75,2.2,3.8,4.95,2026-09-05
Defensa y Justicia,Primera Division,1449.7,20,1.1,1.15,0.95,1.45,,,2026-09-06
Birmingham,Championship,1449.3,20,1.65,1.05,0.85,1.45,4.22,3.8,2026-09-09
Cremonese,Serie B,1446.1,20,0.9,1.55,0.7,1.45,3.23,5.12,2026-09-06
Remo,Brasileirao,1445.8,20,1.31,1.31,1.0,2.0,,,2026-09-06
Sarmiento Junin,Primera Division,1444.3,20,1.25,1.05,0.8,1.4,,,2026-09-04
Lincoln,Championship,1441.2,5,0.67,1.33,1.0,1.0,2.8,5.2,2026-09-05
Atl. Tucuman,Primera Division,1438.8,20,1.1,0.65,0.8,1.6,,,2026-09-07
QPR,Championship,1437.0,20,1.75,1.55,0.85,1.3,4.38,4.03,2026-09-09
Talleres Cordoba,Primera Division,1436.9,20,0.75,0.95,0.85,1.0,,,2026-09-05
Newells Old Boys,Primera Division,1436.4,20,1.0,1.1,0.85,1.75,,,2026-09-06
Andorra,LaLiga Hypermotion,1436.2,20,1.5,1.2,1.45,1.5,4.95,4.2,2026-09-05
Annecy,Ligue 2,1436.1,20,1.6,0.9,1.35,1.35,3.67,3.1,2026-09-04
Rodez,Ligue 2,1434.7,20,1.4,1.0,1.45,1.55,3.83,4.7,2026-09-05
Verona,Serie B,1432.5,20,0.9,1.5,0.7,1.7,3.77,4.1,2026-09-06
Mantova,Serie B,1432.4,20,1.55,1.5,1.0,1.45,4.88,4.4,2026-09-06
Granada,LaLiga Hypermotion,1432.2,20,1.4,1.0,1.05,1.45,3.92,3.95,2026-09-06
Pisa,Serie B,1431.6,20,0.55,1.35,1.0,2.25,3.15,4.65,2026-09-06
Leganes,LaLiga Hypermotion,1429.6,20,1.05,1.0,0.85,1.35,3.85,4.4,2026-09-04
Vasco,Brasileirao,1429.3,20,1.5,1.45,0.85,1.85,,,2026-09-06
St Pauli,2. Bundesliga,1428.3,20,0.95,1.8,0.9,1.75,3.55,5.35,2026-09-04
Derby,Championship,1427.7,20,1.3,1.2,1.55,1.45,3.8,4.12,2026-09-09
Bochum,2. Bundesliga,1426.0,20,1.55,1.35,1.2,1.35,4.53,4.53,2026-09-05
Casa Pia,Liga Portugal,1422.8,20,1.0,1.75,0.65,1.7,2.8,4.7,2026-09-06
Catanzaro,Serie B,1422.1,20,1.8,1.25,1.45,1.65,4.62,4.12,2026-09-05
Metz,Ligue 2,1421.8,20,1.1,1.75,1.05,2.35,3.42,5.65,2026-09-05
Portsmouth,Championship,1420.7,20,1.1,1.0,1.2,2.0,3.85,3.9,2026-09-05
Bolton,Championship,1420.0,6,1.33,1.67,0.67,2.33,4.67,5.33,2026-09-08
Avellino,Serie B,1419.4,20,1.4,1.3,0.9,1.5,3.55,4.35,2026-09-06
Albacete,LaLiga Hypermotion,1417.0,20,1.3,1.4,1.1,1.05,4.35,4.53,2026-09-06
Ascoli,Serie B,1416.1,20,0.9,0.85,1.05,1.35,3.67,3.55,2026-09-05
Charlton,Championship,1414.1,20,0.9,1.15,0.9,1.6,3.15,4.7,2026-09-09
Magdeburg,2. Bundesliga,1411.8,20,1.5,1.8,1.7,1.7,5.15,4.95,2026-09-06
Tondela,Liga Portugal,1411.2,20,0.85,1.35,0.75,2.0,3.42,4.92,2026-05-16
Montpellier,Ligue 2,1410.1,20,1.45,1.25,0.85,0.7,4.08,4.4,2026-09-05
Godoy Cruz,Primera Division,1409.4,20,0.6,0.7,0.85,1.65,,,2025-11-15
AVS,Liga Portugal,1407.1,20,0.85,1.65,0.7,2.5,3.02,5.55,2026-05-16
Cordoba,LaLiga Hypermotion,1407.0,20,1.3,1.3,1.55,1.7,5.38,4.42,2026-09-07
Juventude,Brasileirao,1406.7,20,1.05,1.35,0.8,2.2,,,2025-12-07
Blackburn,Championship,1406.0,20,0.85,1.05,1.0,1.35,3.15,3.55,2026-09-08
Empoli,Serie B,1405.9,20,1.45,1.05,1.0,1.65,4.08,4.3,2026-09-05
Tenerife,LaLiga Hypermotion,1405.6,20,1.05,0.85,0.75,1.65,2.9,3.58,2026-09-05
Platense,Primera Division,1404.7,20,0.75,1.35,0.75,1.25,,,2026-09-04
NAC Breda,Eredivisie,1403.3,20,1.15,1.4,0.8,2.0,4.17,5.25,2026-05-17
Holstein Kiel,2. Bundesliga,1402.4,20,1.35,1.25,1.2,1.8,3.65,4.58,2026-09-05
Central Cordoba,Primera Division,1401.7,20,1.0,0.95,0.6,1.1,,,2026-09-06
Nantes,Ligue 2,1401.5,20,1.05,1.65,0.8,1.55,3.27,4.6,2026-09-07
Juve Stabia,Serie B,1399.3,20,1.25,0.9,1.0,1.55,4.0,3.92,2026-09-06
Watford,Championship,1399.1,20,1.25,1.15,1.0,1.65,4.3,4.03,2026-09-08
Bielefeld,2. Bundesliga,1397.8,20,2.05,1.25,1.05,2.0,4.55,4.5,2026-09-04
Red Star,Ligue 2,1397.5,20,1.2,1.35,1.4,0.9,4.08,4.0,2026-09-04
