fecha,local,visitante,gl,gv,b365c_1,b365c_x,b365c_2,avgc_1,avgc_x,avgc_2,b365c_over25,b365c_under25
2026-02-15,Gimnasia L.P.,Estudiantes L.P.,0,0,,,,3.1,2.75,2.58,,
2026-02-15,Boca Juniors,Platense,0,0,,,,1.61,3.36,6.38,,
2026-02-16,Instituto,Central Cordoba,2,0,,,,1.87,3.06,4.69,,
2026-02-16,Dep. Riestra,Newells Old Boys,1,1,,,,2.28,2.69,3.75,,
2026-02-16,Rosario Central,Barracas Central,2,0,,,,1.53,3.52,7.32,,
2026-02-20,Instituto,Atl. Tucuman,2,1,,,,1.98,3.11,4.02,,
2026-02-20,Defensa y Justicia,Belgrano,1,1,,,,2.99,2.86,2.56,,
2026-02-20,Estudiantes L.P.,Sarmiento Junin,1,0,,,,1.59,3.29,6.96,,
2026-02-20,Boca Juniors,Racing Club,0,0,,,,2.23,2.92,3.51,,
2026-02-21,Ind. Rivadavia,Independiente,3,2,,,,2.58,2.8,3.03,,
2026-02-21,Platense,Barracas Central,1,0,,,,1.84,2.97,5.1,,
2026-02-21,Banfield,Newells Old Boys,3,0,,,,2.33,2.88,3.34,,
2026-02-21,Dep. Riestra,Huracan,0,0,,,,2.71,2.51,3.22,,
2026-02-21,Rosario Central,Talleres Cordoba,0,1,,,,1.82,3.2,4.72,,
2026-02-21,Gimnasia Mendoza,Gimnasia L.P.,0,1,,,,2.59,2.8,3.0,,
2026-02-22,Velez Sarsfield,River Plate,1,0,,,,2.83,2.89,2.65,,
2026-02-22,San Lorenzo,Estudiantes Rio Cuarto,2,0,,,,1.62,3.25,6.75,,
2026-02-22,Central Cordoba,Tigre,0,0,,,,3.38,2.69,2.45,,
2026-02-23,Union de Santa Fe,Aldosivi,1,0,,,,1.57,3.56,6.39,,
2026-02-24,Central Cordoba,Talleres Cordoba,2,0,,,,3.53,2.73,2.32,,
2026-02-24,Platense,Defensa y Justicia,0,0,,,,2.02,2.86,4.28,,
2026-02-24,San Lorenzo,Instituto,1,1,,,,2.47,2.72,3.28,,
2026-02-25,Belgrano,Atl. Tucuman,3,1,,,,1.74,3.33,4.93,,
2026-02-25,Gimnasia Mendoza,Independiente,1,1,,,,3.74,2.81,2.2,,
2026-02-25,Barracas Central,Tigre,2,1,,,,3.16,2.71,2.55,,
2026-02-25,Gimnasia L.P.,Rosario Central,1,2,,,,3.3,2.67,2.49,,
2026-02-25,Newells Old Boys,Estudiantes L.P.,0,2,,,,3.6,2.77,2.27,,
2026-02-25,Velez Sarsfield,Dep. Riestra,0,0,,,,1.92,2.8,5.06,,
2026-02-26,River Plate,Banfield,3,1,,,,1.6,3.6,5.79,,
2026-02-26,Sarmiento Junin,Union de Santa Fe,1,3,,,,3.31,2.81,2.36,,
2026-02-26,Estudiantes Rio Cuarto,Huracan,2,0,,,,3.94,2.61,2.28,,
2026-02-26,Racing Club,Ind. Rivadavia,1,1,,,,1.81,3.27,4.53,,
2026-02-28,Boca Juniors,Gimnasia Mendoza,1,1,,,,1.47,3.66,8.02,,
2026-02-28,Independiente,Central Cordoba,2,0,,,,1.6,3.29,6.72,,
2026-03-01,Talleres Cordoba,San Lorenzo,0,0,,,,2.13,2.75,4.07,,
