fecha,local,visitante,gl,gv,b365c_1,b365c_x,b365c_2,avgc_1,avgc_x,avgc_2,b365c_over25,b365c_under25
2026-08-21,Marseille,Strasbourg,4,0,1.75,4.1,4.2,1.73,4.02,4.25,1.57,2.38
2026-08-22,Le Mans,Brest,2,2,2.5,3.3,2.8,2.5,3.32,2.76,1.98,1.88
2026-08-22,Nice,Lorient,0,0,2.3,3.3,3.2,2.33,3.23,3.1,2.1,1.73
2026-08-22,Toulouse,Lyon,0,2,2.2,3.5,3.2,2.25,3.42,3.09,1.88,1.98
2026-08-22,Troyes,Paris FC,0,0,3.5,3.4,2.1,3.3,3.52,2.11,1.8,2.0
2026-08-22,Lens,Auxerre,5,2,1.42,4.5,7.5,1.44,4.56,6.9,1.67,2.2
2026-08-23,Rennes,Paris SG,2,2,6.0,5.0,1.45,5.94,4.84,1.45,1.4,3.0
2026-08-23,Le Havre,Monaco,0,1,4.2,3.5,1.9,3.89,3.5,1.92,2.03,1.83
2026-08-23,Angers,Lille,0,2,5.0,3.6,1.73,4.67,3.58,1.76,2.1,1.73
2026-08-28,Lille,Paris SG,2,2,4.5,3.8,1.73,4.46,3.85,1.73,1.73,2.1
2026-08-29,Strasbourg,Lens,2,1,3.9,3.8,1.85,3.76,3.8,1.86,1.57,2.38
2026-08-29,Auxerre,Angers,1,3,2.2,3.3,3.4,2.16,3.28,3.39,2.1,1.73
2026-08-29,Brest,Toulouse,2,2,2.35,3.4,2.9,2.42,3.35,2.84,1.95,1.9
2026-08-29,Lorient,Troyes,1,2,1.95,3.3,4.2,1.93,3.33,4.1,2.2,1.67
2026-08-29,Lyon,Le Havre,1,1,1.4,5.0,7.0,1.41,4.7,7.21,1.67,2.2
2026-08-30,Monaco,Marseille,2,0,2.2,3.5,3.2,2.2,3.5,3.13,1.73,2.1
2026-08-30,Rennes,Le Mans,3,2,1.38,5.25,7.0,1.35,5.22,7.81,1.5,2.63
2026-08-30,Paris FC,Nice,3,0,1.95,3.4,4.0,1.94,3.42,3.94,2.05,1.8
2026-09-03,Toulouse,Lille,0,1,3.6,3.5,2.05,3.71,3.41,2.01,1.91,1.91
2026-09-04,Paris SG,Monaco,1,2,1.3,5.75,8.0,1.31,5.72,7.93,1.36,3.2
2026-09-04,Lyon,Auxerre,3,1,1.42,5.0,6.5,1.39,5.02,6.92,1.44,2.75
2026-09-05,Lens,Lorient,0,1,1.5,4.33,6.25,1.51,4.37,5.82,1.67,2.2
2026-09-05,Le Havre,Brest,1,2,2.9,3.2,2.5,2.85,3.21,2.51,2.2,1.67
2026-09-05,Nice,Le Mans,1,1,1.62,4.0,5.25,1.65,3.98,4.91,1.67,2.2
2026-09-06,Marseille,Paris FC,2,3,1.9,3.75,3.8,1.87,3.75,3.83,1.62,2.3
2026-09-06,Troyes,Strasbourg,2,6,2.75,3.4,2.5,2.76,3.42,2.45,1.73,2.1
2026-09-06,Angers,Rennes,1,2,4.5,4.0,1.7,4.41,4.0,1.7,1.57,2.38
2026-09-11,Rennes,Marseille,1,0,1.95,3.8,3.5,1.97,3.85,3.38,1.53,2.5
2026-09-12,Paris FC,Lyon,0,0,2.45,3.6,2.63,2.48,3.57,2.64,1.67,2.2
2026-09-12,Lorient,Toulouse,2,2,2.3,3.3,3.1,2.33,3.31,2.99,1.83,2.03
2026-09-12,Le Havre,Angers,0,0,2.6,3.4,2.63,2.57,3.35,2.67,1.8,2.0
2026-09-12,Auxerre,Nice,1,0,2.9,3.3,2.45,2.85,3.33,2.43,1.93,1.93
2026-09-12,Strasbourg,Monaco,1,1,3.0,3.7,2.25,3.01,3.65,2.2,1.62,2.3
2026-09-13,Brest,Paris SG,0,1,12.0,6.5,1.22,10.7,6.86,1.22,1.3,3.5
2026-09-13,Le Mans,Lens,2,2,4.75,4.33,1.62,4.79,4.3,1.61,1.44,2.75
2026-09-13,Lille,Troyes,2,0,1.5,4.5,6.0,1.48,4.57,6.02,1.53,2.5
