fecha,local,visitante,gl,gv,b365c_1,b365c_x,b365c_2,avgc_1,avgc_x,avgc_2,b365c_over25,b365c_under25
2026-03-29,Athletico-PR,Botafogo RJ,4,1,,,,1.95,3.21,3.9,,
2026-04-01,Internacional,Sao Paulo,1,1,,,,2.18,3.08,3.4,,
2026-04-01,Botafogo RJ,Mirassol,3,2,,,,2.26,3.24,3.04,,
2026-04-02,Santos,Remo,2,0,,,,1.62,3.64,5.39,,
2026-04-02,Fluminense,Corinthians,3,1,,,,1.79,3.3,4.64,,
2026-04-02,Cruzeiro,Vitoria,3,0,,,,1.5,3.93,6.21,,
2026-04-02,Bahia,Athletico-PR,3,0,,,,1.77,3.48,4.44,,
2026-04-02,Coritiba,Vasco,1,1,,,,2.66,2.95,2.75,,
2026-04-02,Chapecoense-SC,Atletico-MG,0,4,,,,3.26,3.19,2.19,,
2026-04-03,Bragantino,Flamengo RJ,3,0,,,,3.68,3.14,2.05,,
2026-04-03,Palmeiras,Gremio,2,1,,,,1.5,4.15,5.72,,
2026-04-04,Sao Paulo,Cruzeiro,4,1,,,,2.21,3.08,3.35,,
2026-04-05,Bahia,Palmeiras,1,2,,,,2.53,3.08,2.78,,
2026-04-05,Corinthians,Internacional,0,1,,,,2.14,3.03,3.54,,
2026-04-05,Flamengo RJ,Santos,3,1,,,,1.33,4.64,8.96,,
2026-04-05,Atletico-MG,Athletico-PR,2,1,,,,2.16,3.17,3.34,,
2026-04-05,Chapecoense-SC,Vitoria,1,1,,,,2.53,3.16,2.72,,
2026-04-05,Vasco,Botafogo RJ,1,2,,,,1.93,3.34,3.82,,
2026-04-05,Coritiba,Fluminense,1,1,,,,3.04,2.95,2.44,,
2026-04-06,Mirassol,Bragantino,0,1,,,,2.1,3.26,3.4,,
2026-04-06,Gremio,Remo,0,0,,,,1.67,3.74,4.8,,
2026-04-11,Remo,Vasco,1,1,,,,2.86,3.2,2.41,,
2026-04-11,Mirassol,Bahia,1,2,,,,2.17,3.3,3.18,,
2026-04-11,Vitoria,Sao Paulo,2,0,,,,2.95,3.0,2.47,,
2026-04-12,Cruzeiro,Bragantino,2,1,,,,1.93,3.32,3.89,,
2026-04-12,Botafogo RJ,Coritiba,2,2,,,,1.83,3.35,4.3,,
2026-04-12,Santos,Atletico-MG,1,0,,,,2.18,3.15,3.31,,
2026-04-12,Internacional,Gremio,0,0,,,,1.76,3.49,4.51,,
2026-04-12,Athletico-PR,Chapecoense-SC,2,0,,,,1.46,4.14,6.34,,
2026-04-12,Corinthians,Palmeiras,0,0,,,,2.69,2.91,2.78,,
2026-04-12,Fluminense,Flamengo RJ,1,2,,,,3.07,3.01,2.38,,
2026-04-18,Vasco,Sao Paulo,2,1,,,,2.12,3.19,3.44,,
2026-04-18,Chapecoense-SC,Botafogo RJ,1,4,,,,3.49,3.41,2.02,,
2026-04-19,Flamengo RJ,Bahia,2,0,,,,1.43,4.46,6.67,,
2026-04-19,Bragantino,Remo,4,2,,,,1.49,4.05,6.34,,
2026-04-19,Santos,Fluminense,2,3,,,,2.22,3.18,3.22,,
