equipo,liga,n,gf_casa,gc_casa,gf_fuera,gc_fuera,cor_f_casa,cor_c_casa,cor_f_fuera,cor_c_fuera,amar_casa,amar_fuera,ult6_gf,ult6_gc,desde,n12m,peso_ef,ultimo
Monaco,Ligue 1,40,1.729,1.187,1.485,1.584,5.069,4.378,4.692,4.82,1.915,1.971,1.67,1.33,2025-05-10,34,17.3,2026-09-12
Troyes,Ligue 1,40,1.428,1.726,1.226,1.564,5.938,3.605,4.498,4.43,1.665,1.478,1.0,2.0,2022-08-19,4,4.0,2026-09-13
Lyon,Ligue 1,40,1.727,1.225,1.268,1.244,6.219,4.468,4.624,5.478,1.588,1.856,1.17,1.33,2025-05-10,34,17.3,2026-09-12
Nice,Ligue 1,40,1.223,1.343,0.997,1.727,5.622,4.615,4.654,5.148,1.719,1.83,0.33,1.17,2025-05-10,34,17.3,2026-09-12
Montpellier,Ligue 1,40,1.406,1.54,1.102,1.68,5.147,4.456,4.203,5.347,1.869,2.042,0.33,2.5,2024-04-14,0,3.5,2025-05-17
Metz,Ligue 1,40,1.204,1.713,1.135,1.986,5.163,4.43,3.873,5.735,1.533,1.934,1.17,2.67,2024-04-12,30,13.4,2026-05-17
Strasbourg,Ligue 1,40,1.663,1.309,1.705,1.741,4.737,4.849,3.788,5.2,1.458,1.956,2.67,2.17,2025-05-10,34,17.4,2026-09-12
St Etienne,Ligue 1,40,1.547,1.507,1.237,1.72,5.032,4.746,4.299,5.247,1.787,1.89,1.83,2.17,2022-04-20,0,3.3,2025-05-17
Rennes,Ligue 1,40,1.704,1.166,1.638,1.749,5.547,4.82,5.173,5.38,1.624,1.904,1.83,1.5,2025-05-10,34,17.3,2026-09-11
Bordeaux,Ligue 1,38,1.559,1.31,1.309,1.567,5.152,4.37,4.362,5.158,1.733,1.949,1.67,2.33,2021-08-08,0,0.1,2022-05-21
Lorient,Ligue 1,40,1.628,1.432,1.161,1.313,4.099,4.761,3.775,5.823,1.479,1.54,1.33,1.0,2024-05-12,34,17.1,2026-09-12
Paris SG,Ligue 1,40,1.943,1.096,1.66,1.243,6.526,3.278,4.829,3.8,1.447,1.45,1.5,1.33,2025-05-10,34,17.4,2026-09-13
Lille,Ligue 1,40,1.495,1.131,1.429,1.099,5.254,3.961,4.248,4.924,1.886,2.068,1.33,0.67,2025-05-10,34,17.3,2026-09-13
Brest,Ligue 1,40,1.54,1.362,1.144,1.741,4.757,3.959,4.093,6.157,1.664,1.737,1.33,1.5,2025-05-10,34,17.4,2026-09-13
Clermont,Ligue 1,40,1.523,1.322,1.267,1.594,5.162,4.331,4.293,5.262,1.711,1.95,1.0,2.17,2023-04-30,0,0.9,2024-05-19
Nantes,Ligue 1,40,1.305,1.347,0.924,1.516,4.634,4.486,3.884,5.716,1.794,2.023,0.83,1.17,2025-04-18,30,14.2,2026-05-17
Reims,Ligue 1,40,1.425,1.329,1.191,1.511,4.809,4.708,4.296,5.411,1.742,1.916,0.67,0.83,2024-04-13,0,3.5,2025-05-17
Lens,Ligue 1,40,1.918,1.109,1.613,1.516,5.977,3.954,5.521,4.577,1.662,2.3,2.0,1.5,2025-05-10,34,17.3,2026-09-13
Marseille,Ligue 1,40,2.078,1.292,1.1,1.556,5.262,3.943,4.715,4.394,1.836,2.216,1.67,1.17,2025-05-10,34,17.3,2026-09-11
Angers,Ligue 1,40,1.158,1.362,1.037,1.499,5.186,4.489,4.306,5.441,1.662,1.672,1.0,1.17,2025-05-10,34,17.3,2026-09-12
Toulouse,Ligue 1,40,1.269,1.367,1.426,1.539,5.202,4.148,3.734,5.448,1.815,2.093,1.0,1.33,2025-05-10,34,17.3,2026-09-12
Ajaccio,Ligue 1,38,1.54,1.313,1.295,1.578,5.118,4.357,4.342,5.159,1.731,1.956,0.17,2.67,2022-08-05,0,0.2,2023-06-03
Auxerre,Ligue 1,40,1.296,1.167,1.23,1.849,5.323,4.903,4.323,5.371,1.664,2.089,1.5,2.0,2025-05-10,34,17.3,2026-09-12
Le Havre,Ligue 1,40,1.164,1.182,1.056,1.464,4.97,4.171,4.037,5.714,1.773,1.964,0.67,0.83,2025-05-10,34,17.3,2026-09-12
Paris FC,Ligue 1,38,1.622,1.214,1.258,1.347,4.97,4.28,3.701,6.049,1.977,1.846,1.5,0.83,2025-08-17,34,17.0,2026-09-12
